amount of threads: 4
N 	time_simple 	time_parallel
10	13.1121	8.0978
20	27.6844	10.3834
30	34.9228	13.5934
40	39.0505	15.5533
50	48.0162	15.7055
60	53.8945	16.9997
70	66.031	24.3859
80	57.6118	19.4643
90	58.524	16.5011
100	61.4968	18.1802
110	66.498	19.6301
120	71.0443	21.5448
130	76.5892	22.7208
140	82.5103	24.8028
150	88.3386	25.8307
160	94.2377	28.102
170	99.5504	29.3637
180	105.771	30.8011
190	112.18	32.5469
200	117.014	33.8883
210	123.588	36.06
220	129.165	37.2206
230	135.746	38.7406
240	141.031	40.63
250	147.108	41.9277
260	147.958	43.7444
270	149.043	44.7462
280	155.474	50.5043
290	159.906	48.0464
300	165.937	49.564
310	171.789	51.1786
320	177.002	53.0649
330	182.03	54.0718
340	192.972	56.5405
350	199.248	57.6911
360	203.569	58.9818
370	209.506	60.516
380	215.831	63.1574
390	219.407	63.8207
400	242.991	66.2733
410	234.003	66.5449
420	232.163	69.5827
430	236.515	69.6433
440	245.035	71.8678
450	252.766	73.1298
460	256.699	75.1831
470	262.122	76.7964
480	271.462	78.2307
490	274.46	79.338
500	278.25	81.4846
510	473.744	138.18
520	375.609	94.6465
530	302.727	86.1755
540	300.536	87.6943
550	305.786	88.3745
560	314.606	91.3517
570	313.898	91.9242
580	319.225	93.8527
590	327.086	95.0915
600	328.572	96.0026
610	337.103	97.9055
620	342.648	100.346
630	343.269	100.877
640	355.103	103.123
650	354.608	105.048
660	367.413	106.145
670	370.62	108.377
680	378.227	110.099
690	381.26	110.485
700	389.153	112.851
710	391.964	114.124
720	402.996	158.04
730	411.81	118.084
740	403.645	119.155
750	411.335	121.113
760	419.434	122.159
770	433.433	124.01
780	425.525	125.007
790	447.392	131.123
800	463.579	135.746
810	512.08	130.252
820	451.44	131.29
830	458.243	133.052
840	461.658	135.287
850	472.016	137.037
860	474.904	137.171
870	477.085	138.463
880	484.954	140.693
890	488.152	141.98
900	495.58	144.29
910	511.232	156.935
920	506.413	147.097
930	510.585	148.188
940	516.593	150.533
950	525.46	153.544
960	528.598	153.673
970	536.058	154.255
980	552.264	157.717
990	547.079	158.627
1000	551.758	159.868
