amount of threads: 2
N 	coef
10	1.3239
20	1.60133
30	1.59028
40	1.65338
50	1.47682
60	1.70451
70	1.84408
80	1.8901
90	1.77563
100	1.76885
110	1.8091
120	1.87525
130	1.67813
140	1.81145
150	1.8119
160	1.9351
170	1.85892
180	1.8451
190	1.69954
200	1.72362
210	1.83119
220	1.9436
230	1.89089
240	1.82338
250	1.71507
260	1.9041
270	1.8683
280	1.71407
290	1.87185
300	1.77796
310	1.90851
320	1.79302
330	1.75077
340	1.85229
350	1.86141
360	1.91462
370	1.89295
380	1.8449
390	1.79095
400	1.85676
410	1.86924
420	1.91463
430	1.91923
440	1.81235
450	1.80716
460	1.88363
470	1.88092
480	1.83207
490	1.9273
500	1.82217
510	1.84302
520	1.92117
530	1.82322
540	1.84408
550	1.91444
560	1.90321
570	1.84958
580	1.8393
590	1.83833
600	1.83023
610	1.8662
620	1.91826
630	1.92509
640	1.8814
650	1.88001
660	1.91702
670	1.85469
680	1.86169
690	1.86492
700	1.83013
710	1.81257
720	1.86585
730	1.84923
740	1.87835
750	1.84634
760	1.823
770	1.87485
780	1.79653
790	1.85781
800	1.82411
810	1.85741
820	1.89411
830	1.85871
840	1.85494
850	1.876
860	1.84121
870	1.87271
880	1.86991
890	1.85129
900	1.86235
910	1.8258
920	1.83802
930	1.8163
940	1.84991
950	1.82961
960	1.86049
970	1.8349
980	1.83638
990	1.87913
1000	1.87952
