amount of threads: 4
N 	coef
10	1.60681
110	3.76784
210	3.55728
310	3.36609
410	3.50376
510	2.63458
610	2.62185
710	2.55617
810	2.5734
910	3.17825
1010	3.38451
1110	2.52057
1210	3.07974
1310	3.4046
1410	3.37896
1510	2.35136
1610	2.54106
1710	2.62059
1810	3.19097
1910	3.37302
2010	2.56108
2110	3.35775
2210	3.4524
2310	3.43672
2410	3.40531
2510	3.43696
2610	3.4651
2710	3.31781
2810	3.4174
2910	3.42899
3010	3.42715
3110	3.42277
3210	3.43459
3310	3.42267
3410	2.62863
3510	2.62038
3610	2.62677
3710	2.65253
3810	2.63271
3910	3.44542
4010	2.61754
4110	2.59002
4210	2.61402
4310	2.65044
4410	2.62991
4510	3.45828
4610	3.46954
4710	3.46682
4810	3.45207
4910	3.4722
5010	3.44602
5110	3.45895
5210	3.47345
5310	3.3777
5410	3.48354
5510	3.50475
5610	3.40274
5710	3.46432
5810	3.43718
5910	3.47178
6010	3.47805
6110	4.26139
6210	3.49252
6310	3.45267
6410	3.44243
6510	3.47131
6610	3.47187
6710	3.17397
6810	3.45799
6910	3.48603
7010	3.41171
7110	3.48748
7210	3.46759
7310	3.46466
7410	3.47649
7510	3.45774
7610	3.42224
7710	3.49021
7810	3.45814
7910	3.50183
8010	3.45752
8110	4.17372
8210	2.54772
8310	3.47913
8410	3.46306
8510	3.49434
8610	3.4864
8710	3.47037
8810	3.46851
8910	3.46281
9010	3.48867
9110	3.48759
9210	3.47063
9310	3.47232
9410	3.42975
9510	3.46723
9610	3.43282
9710	3.43109
9810	3.47614
9910	3.48002
