amount of threads: 2
N 	time_simple 	time_parallel
10	0.00775672	0.00558495
20	0.0161666	0.00982871
30	0.0233711	0.0140632
40	0.0315528	0.0186737
50	0.0392957	0.0227973
60	0.0473222	0.0278952
70	0.0418936	0.0229414
80	0.0503149	0.0256485
90	0.0516613	0.0290965
100	0.0560618	0.0308692
110	0.0630466	0.0367348
120	0.0725079	0.0398623
130	0.0873482	0.0475864
140	0.0965967	0.0532959
150	0.109284	0.0645511
160	0.127356	0.0692418
170	0.134661	0.0723015
180	0.142752	0.0768505
190	0.150762	0.081291
200	0.1582	0.0846279
210	0.167159	0.0903204
220	0.174897	0.0933927
230	0.183394	0.0980998
240	0.190801	0.101686
250	0.199349	0.106154
260	0.205877	0.109696
270	0.213815	0.114051
280	0.221656	0.117969
290	0.229649	0.121898
300	0.237656	0.126078
310	0.24549	0.130181
320	0.254442	0.123932
330	0.189916	0.0993973
340	0.2044	0.112012
350	0.244397	0.138551
360	0.284206	0.150296
370	0.292564	0.154604
380	0.301284	0.160045
390	0.308818	0.162718
400	0.317016	0.168068
410	0.324234	0.17197
420	0.333442	0.177381
430	0.339452	0.178933
440	0.346549	0.182804
450	0.357184	0.188238
460	0.364276	0.191638
470	0.372158	0.196248
480	0.379113	0.199976
490	0.387473	0.203918
500	0.394802	0.208136
510	0.404085	0.212676
520	0.405063	0.156765
530	0.317448	0.184894
540	0.42696	0.22427
550	0.434344	0.228392
560	0.442587	0.233087
570	0.449892	0.235977
580	0.458444	0.241601
590	0.465391	0.245629
600	0.473305	0.251771
610	0.480494	0.251889
620	0.416927	0.182815
630	0.427093	0.248783
640	0.503744	0.266866
650	0.511878	0.272206
660	0.519611	0.274781
670	0.392356	0.228967
680	0.536497	0.282386
690	0.54439	0.287717
700	0.550751	0.289328
710	0.557115	0.296033
720	0.566092	0.298665
730	0.574291	0.302556
740	0.58246	0.308922
750	0.591194	0.312191
760	0.599459	0.314008
770	0.607619	0.318797
780	0.612814	0.32167
790	0.622775	0.325605
800	0.631145	0.330234
810	0.637344	0.332802
820	0.644114	0.335944
830	0.654551	0.341884
840	0.659819	0.345766
850	0.670921	0.350004
860	0.676044	0.351747
870	0.68254	0.356813
880	0.688965	0.361463
890	0.698648	0.365927
900	0.709448	0.369618
910	0.726069	0.387338
920	0.724545	0.378533
930	0.730343	0.383249
940	0.739984	0.388002
950	0.748628	0.393268
960	0.754981	0.395302
970	0.761776	0.397996
980	0.770281	0.402425
990	0.778874	0.408233
1000	0.647667	0.385304
